,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
39,-211.675875643,0.999954344937,14.0887692352,4,GPIHBP1,0.641735813591,4.53999297625e-05,116.880859657,-1.2043627032,0.651659887379,SE,250,0.0884294668216,30723973.8886,0.00146007537842,2.34913020269e-11,0.999999999831,1.4503116895e-10,0.000174381884736,0.0241078267962,102.792090422
40,516.642404142,0.344367305558,13.0791460602,4,GJA1,1.08780632177,1.86230286512,-247.278280235,-2.8144337122,1.15166242986,SE,250,0.000932546508869,0.0205391016905,0.00128817558289,0.00195609166653,0.998043764472,1.4386120245e-07,0.000298601551319,0.0352212857368,-260.357426295
41,688.288875611,0.332017915688,13.5186995102,4,C3,1.08780632177,1.96795388449,-333.10151597,-2.0260944599,0.81629212407,SE,250,0.000840304975262,0.019047023491,0.00128388404846,0.495723120099,0.504276879529,3.71882688422e-10,0.000236198041517,0.0295231191779,-346.62021548
42,840.085976153,0.343283046818,13.9764294793,4,IGLL5,1.08780632177,1.87127447301,-409.000066241,-2.49266846258,1.36830425697,SE,250,0.000930631777967,0.0205464152581,0.0013370513916,0.00510638885626,0.994892748491,8.62652661167e-07,0.000185116842565,0.0251003332833,-422.97649572
43,483.434814405,0.337589778831,13.4335727337,4,PNMT,1.08780632177,1.91932870086,-230.674485367,-2.87493250128,1.16314467867,SE,250,0.000783580204644,0.0175263772361,0.00141978263855,8.29550994235e-07,0.999999169911,5.3772154738e-10,0.000247160954593,0.0302642704114,-244.108058101
44,430.881327057,0.43319175216,23.0913643447,4,CXCL9,1.08780632177,1.2798751402,-204.397741693,-2.65137471382,1.10613212397,SE,250,0.000372665045634,0.0071813131727,0.0011739730835,9.43171628469e-14,1.0,2.19738711211e-18,1.54482971393e-06,0.000509278862358,-227.489106038
45,640.138701113,0.52298541961,34.7240417811,4,TGM2,1.08780632177,0.892182487203,-309.026428721,-4.46824790778,3.3336897104,SE,250,0.000388762466129,0.00730609970448,0.00114917755127,1.41765509318e-16,1.0,1.25249132782e-25,3.79910736203e-09,2.71361796409e-06,-343.750470502
46,67.9724199957,0.323837828123,14.4661158572,4,MMP10,1.08780632177,2.04237230998,-22.9432881621,-1.70588020768,0.379787483099,SE,250,0.000630441553638,0.0145877344054,0.00138592720032,1.27471831975e-05,0.999987252147,6.69712889661e-10,0.000142703596779,0.0212193678517,-37.4094040194
47,383.815189496,0.388127202292,19.1634205292,4,FGG,1.08780632177,1.54205081714,-180.864672913,-1.97191517005,0.617966318977,SE,250,0.000593851502733,0.0120644425048,0.00127100944519,3.83216275716e-08,0.999999961677,1.00205121984e-12,1.19990873712e-05,0.00296677435252,-200.028093442
48,190.419248881,0.487063207295,26.5787907235,4,CXCL13,1.08780632177,1.03012552678,-84.166702605,-1.70710055704,0.479013121234,SE,250,0.000411958215458,0.00772443023615,0.000998020172119,2.19153876131e-17,1.0,2.05478558904e-21,2.53006048334e-07,0.00012305325377,-110.745493328
49,-230.943313659,0.53836647431,24.5312078623,4,IL12RB1,1.08780632177,0.838746953709,126.514578665,-1.39714189907,0.298391118839,SE,250,0.000567629125544,0.0107314142391,0.00125908851624,9.94176950692e-18,1.0,1.23388415601e-19,7.31159540801e-07,0.000268586234745,101.983370803
50,699.664442197,0.296312396377,25.2684116004,4,COL6A3,1.84394040136,2.22283332438,-338.789299263,-6.5849225388,2.79839178566,SE,250,0.000682788915493,0.0171049324256,0.00216507911682,1.97714092224e-06,0.999998022765,9.45027288922e-11,4.98811309146e-07,0.000213773900057,-364.057710863
